,QID,text_id,sentence,original_label,label,label_index,rationale,rationale_index,age,ethnicity,gender,english_proficiency,attentioncheck,originaldata_id,group_id,recruitment_ethnicity,recruitment_age,sst2_id,sst2_split,rationale_binary
15,QID763,122,"After that, it just gets stupid and maudlin.",negative,negative,2,"After,that,,gets,stupid,maudlin.","[0, 1, 4, 5, 7]",66,Latino/Hispanic,Male,Very well,PASSED,475,LO,Latino/Hispanic,>=38,277,test,"[1, 1, 0, 0, 1, 1, 0, 1]"
16,QID675,78,"Celebrated at Sundance, this slight comedy of manners has winning performances and a glossy, glib charm that's hard to beat.",positive,no sentiment,3,performances,[10],44,Latino/Hispanic,Male,Very well,PASSED,415,LO,Latino/Hispanic,>=38,293,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,QID1007,244,It's solid and affecting and exactly as thought-provoking as it should be.,positive,positive,1,"solid,and,affecting,thought-provoking,it,should,be.","[1, 2, 3, 7, 9, 10, 11]",40,Latino/Hispanic,Male,Well,PASSED,675,LO,Latino/Hispanic,>=38,295,test,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1]"
18,QID837,159,Genuinely touching because it's realistic about all kinds of love.,positive,positive,1,"Genuinely,touching,because,it's,realistic,about,all,kinds,of,love.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",38,Latino/Hispanic,Female,Very well,PASSED,524,LO,Latino/Hispanic,>=38,298,test,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
19,QID899,190,The second coming of Harry Potter is a film far superior to its predecessor.,positive,positive,1,"superior,to,its,predecessor.","[10, 11, 12, 13]",45,Latino/Hispanic,Male,Very well,PASSED,576,LO,Latino/Hispanic,>=38,309,validation,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
20,QID765,123,"The stunning, dreamlike visuals will impress even those viewers who have little patience for Euro-film pretension.",positive,positive,1,"stunning,,dreamlike,visuals,impress","[1, 2, 3, 5]",66,Latino/Hispanic,Male,Very well,PASSED,476,LO,Latino/Hispanic,>=38,316,test,"[0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,QID827,154,"With the exception of some fleetingly amusing improvisations by Cedric the Entertainer as Perry's boss, there isn't a redeeming moment here.",negative,negative,2,"there,isn't,a,redeeming,moment,here.","[15, 16, 17, 18, 19, 20]",38,Latino/Hispanic,Female,Very well,PASSED,517,LO,Latino/Hispanic,>=38,335,validation,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]"
22,QID815,148,"A very long movie, dull in stretches, with entirely too much focus on meal preparation and igloo construction.",negative,negative,2,"dull,too,much,focus","[4, 9, 10, 11]",38,Latino/Hispanic,Male,Very well,PASSED,509,LO,Latino/Hispanic,>=38,361,validation,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
23,QID657,69,"Instead of hiding Pinocchio from critics, Miramax should have hidden it from everyone.",negative,negative,2,"should,have,hidden,it,from,everyone.","[7, 8, 9, 10, 11, 12]",38,Latino/Hispanic,Female,Very well,PASSED,405,LO,Latino/Hispanic,>=38,364,validation,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]"
24,QID769,125,"For the most part, it's a work of incendiary genius, steering clear of knee-jerk reactions and quick solutions.",positive,positive,1,"work,incendiary,genius,","[6, 8, 9]",66,Latino/Hispanic,Male,Very well,PASSED,479,LO,Latino/Hispanic,>=38,371,validation,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
25,QID643,62,"The Movie is what happens when you blow up small potatoes to 10 times their natural size, and it ain't pretty.",negative,negative,2,"it,ain't,pretty.","[18, 19, 20]",38,Latino/Hispanic,Female,Very well,PASSED,395,LO,Latino/Hispanic,>=38,374,validation,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
26,QID865,173,"At its worst, it implodes in a series of very bad special effects.",negative,negative,2,"At,its,worst,,implodes,very,bad,special,effects.","[0, 1, 2, 4, 9, 10, 11, 12]",57,Latino/Hispanic,Male,Very well,PASSED,547,LO,Latino/Hispanic,>=38,380,validation,"[1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1]"
27,QID617,49,"Novak manages to capture a cruelly hilarious vein of black comedy in the situation with his cast of non-actors and a gritty, no-budget approach.",positive,positive,1,"cruelly,hilarious,gritty,,no-budget,approach.","[5, 6, 21, 22, 23]",38,Latino/Hispanic,Male,Very well,PASSED,374,LO,Latino/Hispanic,>=38,386,test,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
28,QID1017,249,A richly imagined and admirably mature work from a gifted director who definitely has something on his mind.,positive,positive,1,"richly,imagined,mature,work,a,gifted,director","[1, 2, 5, 6, 8, 9, 10]",40,Latino/Hispanic,Male,Well,PASSED,680,LO,Latino/Hispanic,>=38,406,test,"[0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
29,QID555,18,"Beautifully observed, miraculously unsentimental comedy-drama.",positive,positive,1,"Beautifully,observed,","[0, 1]",51,Latino/Hispanic,Female,Very well,PASSED,334,LO,Latino/Hispanic,>=38,428,validation,"[1, 1, 0, 0, 0]"
30,QID635,58,It is intensely personal and yet -- unlike Quills -- deftly shows us the temper of the times.,positive,positive,1,"intensely,personal","[2, 3]",49,Latino/Hispanic,Female,Very well,PASSED,387,LO,Latino/Hispanic,>=38,441,test,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,QID553,17,"Featuring a dangerously seductive performance from the great Daniel Auteuil, ``Sade'' covers the same period as Kaufmann's ``Quills'' with more unsettlingly realistic results.",positive,positive,1,"Featuring,a,dangerously,seductive,performance,realistic,results.","[0, 1, 2, 3, 4, 21, 22]",51,Latino/Hispanic,Female,Very well,PASSED,331,LO,Latino/Hispanic,>=38,458,validation,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
32,QID1015,248,"Too much of this well-acted but dangerously slow thriller feels like a preamble to a bigger, more complicated story, one that never materializes.",negative,negative,2,"one,that,never,materializes.","[19, 20, 21, 22]",40,Latino/Hispanic,Male,Well,PASSED,679,LO,Latino/Hispanic,>=38,460,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
33,QID801,141,"It's the best film of the year so far, the benchmark against which all other Best Picture contenders should be measured.",positive,positive,1,"It's,the,best,film,of,the,year,so,far,,benchmark,Best,Picture,contenders","[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 15, 16, 17]",38,Latino/Hispanic,Male,Very well,PASSED,500,LO,Latino/Hispanic,>=38,464,test,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]"
34,QID1031,256,A classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done.,positive,positive,1,"item,legend","[2, 5]",51,Latino/Hispanic,Male,Well,PASSED,690,LO,Latino/Hispanic,>=38,518,test,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
35,QID621,51,But it's too long and too convoluted and it ends in a muddle.,negative,negative,2,"it's,too,long,too,convoluted","[1, 2, 3, 5, 6]",49,Latino/Hispanic,Female,Very well,PASSED,378,LO,Latino/Hispanic,>=38,556,validation,"[0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
36,QID591,36,One of the best films of the year with its exploration of the obstacles to happiness faced by five contemporary individuals... a psychological masterpiece.,positive,positive,1,"the,best","[2, 3]",40,Latino/Hispanic,Female,Very well,PASSED,354,LO,Latino/Hispanic,>=38,557,validation,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
37,QID923,202,"Often gruelling and heartbreaking to witness, but Seldahl and Wollter's sterling performances raise this far above the level of the usual maudlin disease movie.",positive,positive,1,"gruelling,heartbreaking,sterling,performances,raise","[1, 3, 10, 11, 12]",38,Latino/Hispanic,Male,Well,PASSED,602,LO,Latino/Hispanic,>=38,560,test,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
38,QID767,124,"Impresses as a skillfully assembled, highly polished and professional adaptation... just about as chilling and unsettling as `Manhunter' was.",positive,positive,1,"Impresses,skillfully,assembled,,highly,polished,professional,adaptation...","[0, 3, 4, 5, 6, 8, 9]",66,Latino/Hispanic,Male,Very well,PASSED,478,LO,Latino/Hispanic,>=38,585,train,"[1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,QID879,180,Few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands.,positive,positive,1,"Few,films,capture,so,perfectly","[0, 1, 2, 3, 4]",45,Latino/Hispanic,Male,Well,PASSED,556,LO,Latino/Hispanic,>=38,622,validation,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
40,QID885,183,"The movie is as far as you can get from racy, to the point where it almost stops the blood flow to your brain; it has a dull, costumey feel.",negative,positive,1,"as,far,as,you,can,get,from,racy,,it,almost,stops,the,blood,flow,to,your,brain;","[3, 4, 5, 6, 7, 8, 9, 10, 15, 16, 17, 18, 19, 20, 21, 22, 23]",45,Latino/Hispanic,Male,Well,PASSED,565,LO,Latino/Hispanic,>=38,635,test,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
41,QID1013,247,"An important movie, a reminder of the power of film to move us and to make us examine our values.",positive,positive,1,"An,important,movie,,reminder,of,power,make,us,examine,our,values.","[0, 1, 2, 4, 5, 7, 15, 16, 17, 18, 19]",40,Latino/Hispanic,Male,Well,PASSED,678,LO,Latino/Hispanic,>=38,640,validation,"[1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]"
42,QID797,139,"While Tattoo borrows heavily from both Seven and The Silence of the Lambs, it manages to maintain both a level of sophisticated intrigue and human-scale characters that suck the audience in.",positive,positive,1,"sophisticated,intrigue,human-scale,characters,suck,audience,in.","[21, 22, 24, 25, 27, 29, 30]",42,Latino/Hispanic,Male,Very well,PASSED,497,LO,Latino/Hispanic,>=38,656,train,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1]"
43,QID561,21,Bullock's complete lack of focus and ability quickly derails the film.,negative,negative,2,"complete,lack,of,focus,and,ability","[1, 2, 3, 4, 5, 6]",46,Latino/Hispanic,Female,Very well,PASSED,337,LO,Latino/Hispanic,>=38,666,test,"[0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]"
44,QID729,105,There are plot holes big enough for Shamu the killer whale to swim through.,negative,negative,2,"plot,holes,big,enough","[2, 3, 4, 5]",40,Latino/Hispanic,Male,Very well,PASSED,455,LO,Latino/Hispanic,>=38,668,validation,"[0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
45,QID809,145,"More romantic, more emotional and ultimately more satisfying than the teary-eyed original.",positive,positive,1,"More,romantic,,more,emotional,more,satisfying","[0, 1, 2, 3, 6, 7]",38,Latino/Hispanic,Male,Very well,PASSED,505,LO,Latino/Hispanic,>=38,686,validation,"[1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0]"
46,QID531,6,The film often achieves a mesmerizing poetry.,positive,positive,1,"achieves,a,mesmerizing,poetry.","[3, 4, 5, 6]",39,Latino/Hispanic,Male,Very well,PASSED,311,LO,Latino/Hispanic,>=38,695,test,"[0, 0, 0, 1, 1, 1, 1]"
47,QID749,115,"Director of photography Benoit Delhomme shot the movie in delicious colors, and the costumes and sets are grand.",positive,positive,1,"shot,the,movie,delicious,colors,,are,grand.","[5, 6, 7, 9, 10, 16, 17]",51,White Mexican,Female,Very well,PASSED,465,LO,Latino/Hispanic,>=38,708,validation,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1]"
48,QID721,101,It's everything you don't go to the movies for.,negative,negative,2,"you,don't,go","[2, 3, 4]",40,Latino/Hispanic,Male,Very well,PASSED,450,LO,Latino/Hispanic,>=38,724,validation,"[0, 0, 1, 1, 1, 0, 0, 0, 0]"
49,QID1023,252,Wedding feels a bit anachronistic.,negative,negative,2,anachronistic.,[4],51,Latino/Hispanic,Male,Well,PASSED,684,LO,Latino/Hispanic,>=38,758,train,"[0, 0, 0, 0, 1]"
50,QID831,156,"Not the kind of film that will appeal to a mainstream American audience, but there is a certain charm about the film that makes it a suitable entry into the fest circuit.",positive,positive,1,"appeal,certain,charm","[7, 17, 18]",38,Latino/Hispanic,Female,Very well,PASSED,520,LO,Latino/Hispanic,>=38,772,validation,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
51,QID669,75,Better at putting you to sleep than a sound machine.,negative,no sentiment,3,sound,[8],44,Latino/Hispanic,Male,Very well,PASSED,411,LO,Latino/Hispanic,>=38,778,test,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
52,QID695,88,"It's as if you're watching a movie that was made in 1978 but not released then because it was so weak, and it has been unearthed and released now, when it has become even weaker.",negative,positive,1,"been,unearthed,released,now,","[24, 25, 27, 28]",49,Latino/Hispanic,Male,Not well,PASSED,430,LO,Latino/Hispanic,>=38,789,validation,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
53,QID951,216,Griffiths proves she's that rare luminary who continually raises the standard of her profession.,positive,positive,1,"raises,the,standard,of,her,profession.","[8, 9, 10, 11, 12, 13]",42,Latino/Hispanic,Male,Well,PASSED,626,LO,Latino/Hispanic,>=38,806,validation,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]"
54,QID731,106,... always remains movingly genuine.,positive,positive,1,"remains,genuine.","[2, 4]",40,Latino/Hispanic,Male,Very well,PASSED,456,LO,Latino/Hispanic,>=38,809,test,"[0, 0, 1, 0, 1]"
55,QID921,201,A strangely compelling and brilliantly acted psychological drama.,positive,positive,1,"strangely,compelling,brilliantly,acted","[1, 2, 4, 5]",38,Latino/Hispanic,Male,Well,PASSED,601,LO,Latino/Hispanic,>=38,817,validation,"[0, 1, 1, 0, 1, 1, 0, 0]"
56,QID737,109,Kirshner and Monroe seem to be in a contest to see who can out-bad-act the other.,negative,negative,2,"contest,who,can,out-bad-act","[8, 11, 12, 13]",40,Latino/Hispanic,Male,Very well,PASSED,459,LO,Latino/Hispanic,>=38,830,train,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0]"
57,QID523,2,"Ultimately feels empty and unsatisfying, like swallowing a Communion wafer without the wine.",negative,negative,2,"feels,empty,and,unsatisfying,,like,swallowing,a,Communion,wafer,without,the,wine.","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",39,Latino/Hispanic,Male,Very well,PASSED,304,LO,Latino/Hispanic,>=38,833,validation,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
58,QID575,28,I like the new footage and still love the old stuff.,positive,positive,1,"I,like,still,love","[0, 1, 6, 7]",46,Latino/Hispanic,Female,Very well,PASSED,344,LO,Latino/Hispanic,>=38,851,test,"[1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
59,QID599,40,"Stephen Rea, Aidan Quinn, and Alan Bates play Desmond's legal eagles, and when joined by Brosnan, the sight of this grandiloquent quartet lolling in pretty Irish settings is a pleasant enough thing, `tis.",positive,positive,1,"pleasant,enough,thing,","[29, 30, 31]",38,Latino/Hispanic,Male,Very well,PASSED,361,LO,Latino/Hispanic,>=38,860,validation,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]"
60,QID983,232,"... a haunting vision, with images that seem more like disturbing hallucinations.",negative,positive,1,haunting,[2],46,Latino/Hispanic,Female,Very well,PASSED,654,LO,Latino/Hispanic,>=38,865,test,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
61,QID603,42,An intriguing and entertaining introduction to Johnson.,positive,positive,1,"intriguing,entertaining","[1, 3]",38,Latino/Hispanic,Male,Very well,PASSED,363,LO,Latino/Hispanic,>=38,941,test,"[0, 1, 0, 1, 0, 0, 0]"
62,QID941,211,"... pitiful, slapdash disaster.",negative,negative,2,"pitiful,,slapdash,disaster.","[1, 2, 3]",42,Latino/Hispanic,Male,Well,PASSED,616,LO,Latino/Hispanic,>=38,952,train,"[0, 1, 1, 1]"
63,QID571,26,The Movie will reach far beyond its core demographic.,positive,positive,1,"will,reach,far,beyond,its,core,demographic.","[2, 3, 4, 5, 6, 7, 8]",46,Latino/Hispanic,Female,Very well,PASSED,342,LO,Latino/Hispanic,>=38,989,test,"[0, 0, 1, 1, 1, 1, 1, 1, 1]"
64,QID805,143,It never fails to engage us.,positive,positive,1,engage,[4],38,Latino/Hispanic,Male,Very well,PASSED,502,LO,Latino/Hispanic,>=38,1004,test,"[0, 0, 0, 0, 1, 0]"
65,QID1011,246,"Cantet perfectly captures the hotel lobbies, two-lane highways, and roadside cafes that permeate Vincent's days",positive,positive,1,"Cantet,perfectly,captures,the,hotel,that,permeate,Vincent's,days","[0, 1, 2, 3, 4, 11, 12, 13, 14]",40,Latino/Hispanic,Male,Well,PASSED,677,LO,Latino/Hispanic,>=38,1033,test,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
66,QID545,13,Another Best of the Year selection.,positive,no sentiment,3,Another,[0],51,Latino/Hispanic,Female,Very well,PASSED,323,LO,Latino/Hispanic,>=38,1050,train,"[1, 0, 0, 0, 0, 0]"
67,QID799,140,"As written by Michael Berg and Michael J. Wilson from a story by Wilson, this relentless, all-wise-guys-all-the-time approach tries way too hard and gets tiring in no time at all.",negative,negative,2,"tries,way,too,hard,gets,tiring,in,no,time,at,all.","[18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29]",38,Latino/Hispanic,Male,Very well,PASSED,499,LO,Latino/Hispanic,>=38,1092,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
68,QID581,31,"The stupidest, most insulting movie of 2002's first quarter.",negative,negative,2,"stupidest,,insulting","[1, 3]",40,Latino/Hispanic,Female,Very well,PASSED,349,LO,Latino/Hispanic,>=38,1105,test,"[0, 1, 0, 1, 0, 0, 0, 0, 0]"
69,QID609,45,"Showtime is one of the hapless victims of the arrogant ``if we put together a wry white man and a chatty black man and give them guns, the movie will be funny'' syndrome.",negative,negative,2,"hapless,victims,``if,we,put,together,a,wry,white,man,and,a,chatty,black,man,and,give,them,guns,,the,movie,will,be,funny'',syndrome.","[5, 6, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",38,Latino/Hispanic,Male,Very well,PASSED,370,LO,Latino/Hispanic,>=38,1116,test,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
70,QID943,212,It's neither as romantic nor as thrilling as it should be.,negative,negative,2,"neither,romantic,nor,thrilling","[1, 3, 4, 6]",42,Latino/Hispanic,Male,Well,PASSED,618,LO,Latino/Hispanic,>=38,1141,test,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0]"
71,QID783,132,"This is cool, slick stuff, ready to quench the thirst of an audience that misses the summer blockbusters.",positive,positive,1,"cool,,slick,stuff,","[2, 3, 4]",42,Latino/Hispanic,Male,Very well,PASSED,488,LO,Latino/Hispanic,>=38,1199,test,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
