,QID,text_id,sentence,original_label,label,label_index,rationale,rationale_index,age,ethnicity,gender,english_proficiency,attentioncheck,originaldata_id,group_id,recruitment_ethnicity,recruitment_age,sst2_id,sst2_split,rationale_binary
10,QID875,178,"... a cute and sometimes side-splittingly funny blend of Legally Blonde and Drop Dead Gorgeous, starring Piper Perabo in what could be her breakthrough role.",positive,positive,1,"cute,sometimes,side-splittingly,funny,blend,her,breakthrough,role.","[2, 4, 5, 6, 7, 22, 23, 24]",25,White/Caucasian,Female,Very well,PASSED,554,WY,White/Causasian,<=35,183,test,"[0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
11,QID1043,262,Men in Black II achieves ultimate insignificance -- it's the sci-fi comedy spectacle as Whiffle-Ball epic.,negative,negative,2,"achieves,ultimate,insignificance","[4, 5, 6]",21,White/Caucasian,Male,Very well,PASSED,698,WY,White/Causasian,<=35,190,train,"[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,QID653,67,"Only an epic documentary could get it all down, and Spike Lee's Jim Brown: All American at long last gives its subject a movie worthy of his talents.",positive,positive,1,"epic,documentary,get,it,all,down,","[2, 3, 5, 6, 7, 8]",21,White/Caucasian,Male,Very well,PASSED,403,WY,White/Causasian,<=35,192,test,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,QID823,152,"Not only is Undercover Brother as funny, if not more so, than both Austin Powers films, but it's also one of the smarter, savvier spoofs to come along in some time.",positive,positive,1,"funny,,smarter,","[6, 22]",33,White/Caucasian,Male,Very well,PASSED,515,WY,White/Causasian,<=35,210,validation,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
14,QID589,35,"A lousy movie that's not merely unwatchable, but also unlistenable.",negative,negative,2,"lousy,unwatchable,,unlistenable.","[1, 6, 9]",24,White/Caucasian,Male,Very well,PASSED,353,WY,White/Causasian,<=35,261,test,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 1]"
15,QID763,122,"After that, it just gets stupid and maudlin.",negative,negative,2,"stupid,maudlin.","[5, 7]",27,White/Caucasian,Female,Well,PASSED,475,WY,White/Causasian,<=35,277,test,"[0, 0, 0, 0, 0, 1, 0, 1]"
16,QID675,78,"Celebrated at Sundance, this slight comedy of manners has winning performances and a glossy, glib charm that's hard to beat.",positive,positive,1,"has,winning,performances,glossy,,glib,charm,that's,hard,to,beat.","[8, 9, 10, 13, 14, 15, 16, 17, 18, 19]",19,White/Caucasian,Female,Very well,PASSED,415,WY,White/Causasian,<=35,293,test,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1]"
17,QID1007,244,It's solid and affecting and exactly as thought-provoking as it should be.,positive,positive,1,affecting,[3],27,White/Caucasian,Male,Well,PASSED,675,WY,White/Causasian,<=35,295,test,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
18,QID837,159,Genuinely touching because it's realistic about all kinds of love.,positive,positive,1,"Genuinely,touching,realistic","[0, 1, 4]",33,White/Caucasian,Male,Very well,PASSED,524,WY,White/Causasian,<=35,298,test,"[1, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
19,QID899,190,The second coming of Harry Potter is a film far superior to its predecessor.,positive,positive,1,"far,superior","[9, 10]",22,White/Caucasian,Male,Very well,PASSED,576,WY,White/Causasian,<=35,309,validation,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
20,QID765,123,"The stunning, dreamlike visuals will impress even those viewers who have little patience for Euro-film pretension.",positive,no sentiment,3,"dreamlike,visuals,will,impress","[2, 3, 4, 5]",27,White/Caucasian,Female,Well,PASSED,476,WY,White/Causasian,<=35,316,test,"[0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,QID827,154,"With the exception of some fleetingly amusing improvisations by Cedric the Entertainer as Perry's boss, there isn't a redeeming moment here.",negative,negative,2,"exception,of,some,improvisations,there,isn't,redeeming,moment","[2, 3, 4, 7, 15, 16, 18, 19]",33,White/Caucasian,Male,Very well,PASSED,517,WY,White/Causasian,<=35,335,validation,"[0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0]"
22,QID815,148,"A very long movie, dull in stretches, with entirely too much focus on meal preparation and igloo construction.",negative,negative,2,"very,long,movie,,dull,too,much,focus","[1, 2, 3, 4, 9, 10, 11]",31,White/Caucasian,Female,Very well,PASSED,509,WY,White/Causasian,<=35,361,validation,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
23,QID657,69,"Instead of hiding Pinocchio from critics, Miramax should have hidden it from everyone.",negative,negative,2,"should,have,hidden,it,from,everyone.","[7, 8, 9, 10, 11, 12]",21,White/Caucasian,Male,Very well,PASSED,405,WY,White/Causasian,<=35,364,validation,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]"
24,QID769,125,"For the most part, it's a work of incendiary genius, steering clear of knee-jerk reactions and quick solutions.",positive,positive,1,"incendiary,genius,,steering,clear,reactions,quick,solutions.","[8, 9, 10, 11, 14, 16, 17]",27,White/Caucasian,Female,Well,PASSED,479,WY,White/Causasian,<=35,371,validation,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1]"
25,QID643,62,"The Movie is what happens when you blow up small potatoes to 10 times their natural size, and it ain't pretty.",negative,negative,2,"blow,up,10,times,it,ain't,pretty.","[7, 8, 12, 13, 18, 19, 20]",21,White/Caucasian,Male,Very well,PASSED,395,WY,White/Causasian,<=35,374,validation,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1]"
26,QID865,173,"At its worst, it implodes in a series of very bad special effects.",negative,negative,2,"At,its,worst,,very,bad,special,effects.","[0, 1, 2, 9, 10, 11, 12]",25,White/Caucasian,Female,Very well,PASSED,547,WY,White/Causasian,<=35,380,validation,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
27,QID617,49,"Novak manages to capture a cruelly hilarious vein of black comedy in the situation with his cast of non-actors and a gritty, no-budget approach.",positive,no sentiment,3,"capture,a,cruelly,hilarious,vein,of,black,comedy,his,cast,of,non-actors,and,a,gritty,,no-budget,approach.","[3, 4, 5, 6, 7, 8, 9, 10, 15, 16, 17, 18, 19, 20, 21, 22, 23]",19,White/Caucasian,Male,Very well,PASSED,374,WY,White/Causasian,<=35,386,test,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
28,QID1017,249,A richly imagined and admirably mature work from a gifted director who definitely has something on his mind.,positive,positive,1,"richly,imagined,admirably,mature,work,gifted,director","[1, 2, 4, 5, 6, 9, 10]",27,White/Caucasian,Male,Well,PASSED,680,WY,White/Causasian,<=35,406,test,"[0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
29,QID555,18,"Beautifully observed, miraculously unsentimental comedy-drama.",positive,no sentiment,3,unsentimental,[3],20,White/Caucasian,Male,Well,PASSED,334,WY,White/Causasian,<=35,428,validation,"[0, 0, 0, 1, 0]"
30,QID635,58,It is intensely personal and yet -- unlike Quills -- deftly shows us the temper of the times.,positive,positive,1,"intensely,personal,deftly,the,temper","[2, 3, 10, 13, 14]",29,White/Caucasian,Male,Very well,PASSED,387,WY,White/Causasian,<=35,441,test,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]"
31,QID553,17,"Featuring a dangerously seductive performance from the great Daniel Auteuil, ``Sade'' covers the same period as Kaufmann's ``Quills'' with more unsettlingly realistic results.",positive,negative,2,"dangerously,unsettlingly","[2, 20]",20,White/Caucasian,Male,Well,PASSED,331,WY,White/Causasian,<=35,458,validation,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
32,QID1015,248,"Too much of this well-acted but dangerously slow thriller feels like a preamble to a bigger, more complicated story, one that never materializes.",negative,negative,2,"Too,much,of,never,materializes.","[0, 1, 2, 21, 22]",27,White/Caucasian,Male,Well,PASSED,679,WY,White/Causasian,<=35,460,test,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
33,QID801,141,"It's the best film of the year so far, the benchmark against which all other Best Picture contenders should be measured.",positive,positive,1,"It's,the,best,film,of,the,year","[0, 1, 2, 3, 4, 5, 6]",31,White/Caucasian,Female,Very well,PASSED,500,WY,White/Causasian,<=35,464,test,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
34,QID1031,256,A classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done.,positive,positive,1,"A,classy,item,to,show,how,its,done.","[0, 1, 2, 20, 21, 22, 23, 24]",21,White/Caucasian,Male,Very well,PASSED,690,WY,White/Causasian,<=35,518,test,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]"
35,QID621,51,But it's too long and too convoluted and it ends in a muddle.,negative,negative,2,"too,long,too,convoluted","[2, 3, 5, 6]",29,White/Caucasian,Male,Very well,PASSED,378,WY,White/Causasian,<=35,556,validation,"[0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
36,QID591,36,One of the best films of the year with its exploration of the obstacles to happiness faced by five contemporary individuals... a psychological masterpiece.,positive,positive,1,"One,of,the,best,films,a,psychological,masterpiece.","[0, 1, 2, 3, 4, 21, 22, 23]",24,White/Caucasian,Male,Very well,PASSED,354,WY,White/Causasian,<=35,557,validation,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
37,QID923,202,"Often gruelling and heartbreaking to witness, but Seldahl and Wollter's sterling performances raise this far above the level of the usual maudlin disease movie.",positive,positive,1,"sterling,performances","[10, 11]",24,White/Caucasian,Male,Very well,PASSED,602,WY,White/Causasian,<=35,560,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
38,QID767,124,"Impresses as a skillfully assembled, highly polished and professional adaptation... just about as chilling and unsettling as `Manhunter' was.",positive,negative,2,"skillfully,assembled,,chilling,unsettling","[3, 4, 13, 15]",27,White/Caucasian,Female,Well,PASSED,478,WY,White/Causasian,<=35,585,train,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]"
39,QID879,180,Few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands.,positive,positive,1,"capture,so,perfectly","[2, 3, 4]",29,White/Caucasian,Male,Very well,PASSED,556,WY,White/Causasian,<=35,622,validation,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
40,QID885,183,"The movie is as far as you can get from racy, to the point where it almost stops the blood flow to your brain; it has a dull, costumey feel.",negative,negative,2,"as,you,can,get,from,racy,,almost,stops,the,blood,flow,to,your,brain;,dull,,costumey,feel.","[5, 6, 7, 8, 9, 10, 16, 17, 18, 19, 20, 21, 22, 23, 27, 28, 29]",29,White/Caucasian,Male,Very well,PASSED,565,WY,White/Causasian,<=35,635,test,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1]"
41,QID1013,247,"An important movie, a reminder of the power of film to move us and to make us examine our values.",positive,positive,1,"important,make,us,examine,our,values.","[1, 15, 16, 17, 18, 19]",27,White/Caucasian,Male,Well,PASSED,678,WY,White/Causasian,<=35,640,validation,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]"
42,QID797,139,"While Tattoo borrows heavily from both Seven and The Silence of the Lambs, it manages to maintain both a level of sophisticated intrigue and human-scale characters that suck the audience in.",positive,no sentiment,3,"While,borrows,heavily,from,it,manages,to,maintain,level,sophisticated,intrigue,human-scale,suck,audience","[0, 2, 3, 4, 13, 14, 15, 16, 19, 21, 22, 24, 27, 29]",23,White/Caucasian,Male,Very well,PASSED,497,WY,White/Causasian,<=35,656,train,"[1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0]"
43,QID561,21,Bullock's complete lack of focus and ability quickly derails the film.,negative,negative,2,"complete,lack,of,focus,and,ability","[1, 2, 3, 4, 5, 6]",27,White/Caucasian,Male,Well,PASSED,337,WY,White/Causasian,<=35,666,test,"[0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]"
44,QID729,105,There are plot holes big enough for Shamu the killer whale to swim through.,negative,no sentiment,3,"There,are,plot,holes","[0, 1, 2, 3]",31,White/Caucasian,Female,Very well,PASSED,455,WY,White/Causasian,<=35,668,validation,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
45,QID809,145,"More romantic, more emotional and ultimately more satisfying than the teary-eyed original.",positive,positive,1,"More,romantic,,more,emotional,more,satisfying","[0, 1, 2, 3, 6, 7]",31,White/Caucasian,Female,Very well,PASSED,505,WY,White/Causasian,<=35,686,validation,"[1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0]"
46,QID531,6,The film often achieves a mesmerizing poetry.,positive,positive,1,"achieves,a,mesmerizing,poetry.","[3, 4, 5, 6]",22,White/Caucasian,Female,Very well,PASSED,311,WY,White/Causasian,<=35,695,test,"[0, 0, 0, 1, 1, 1, 1]"
47,QID749,115,"Director of photography Benoit Delhomme shot the movie in delicious colors, and the costumes and sets are grand.",positive,positive,1,"delicious,colors,,grand.","[9, 10, 17]",19,White/Caucasian,Female,Very well,PASSED,465,WY,White/Causasian,<=35,708,validation,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1]"
48,QID721,101,It's everything you don't go to the movies for.,negative,negative,2,"you,don't,go","[2, 3, 4]",31,White/Caucasian,Female,Very well,PASSED,450,WY,White/Causasian,<=35,724,validation,"[0, 0, 1, 1, 1, 0, 0, 0, 0]"
49,QID1023,252,Wedding feels a bit anachronistic.,negative,negative,2,anachronistic.,[4],21,White/Caucasian,Male,Very well,PASSED,684,WY,White/Causasian,<=35,758,train,"[0, 0, 0, 0, 1]"
50,QID831,156,"Not the kind of film that will appeal to a mainstream American audience, but there is a certain charm about the film that makes it a suitable entry into the fest circuit.",positive,positive,1,"there,is,certain,charm","[14, 15, 17, 18]",33,White/Caucasian,Male,Very well,PASSED,520,WY,White/Causasian,<=35,772,validation,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
51,QID669,75,Better at putting you to sleep than a sound machine.,negative,negative,2,"Better,at,putting,you,to,sleep","[0, 1, 2, 3, 4, 5]",19,White/Caucasian,Female,Very well,PASSED,411,WY,White/Causasian,<=35,778,test,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0]"
52,QID695,88,"It's as if you're watching a movie that was made in 1978 but not released then because it was so weak, and it has been unearthed and released now, when it has become even weaker.",negative,negative,2,"not,released,so,weak,,unearthed,become,even,weaker.","[13, 14, 19, 20, 25, 32, 33, 34]",19,White/Caucasian,Male,Very well,PASSED,430,WY,White/Causasian,<=35,789,validation,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
53,QID951,216,Griffiths proves she's that rare luminary who continually raises the standard of her profession.,positive,positive,1,"rare,luminary,raises,the,standard","[4, 5, 8, 9, 10]",30,White/Caucasian,Female,Very well,PASSED,626,WY,White/Causasian,<=35,806,validation,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0]"
54,QID731,106,... always remains movingly genuine.,positive,positive,1,"remains,movingly,genuine.","[2, 3, 4]",31,White/Caucasian,Female,Very well,PASSED,456,WY,White/Causasian,<=35,809,test,"[0, 0, 1, 1, 1]"
55,QID921,201,A strangely compelling and brilliantly acted psychological drama.,positive,positive,1,"compelling,brilliantly","[2, 4]",24,White/Caucasian,Male,Very well,PASSED,601,WY,White/Causasian,<=35,817,validation,"[0, 0, 1, 0, 1, 0, 0, 0]"
56,QID737,109,Kirshner and Monroe seem to be in a contest to see who can out-bad-act the other.,negative,no sentiment,3,"Kirshner,and,Monroe,seem,to,be,in,a,contest,to,see,who,can,out-bad-act,the,other.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",31,White/Caucasian,Female,Very well,PASSED,459,WY,White/Causasian,<=35,830,train,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
57,QID523,2,"Ultimately feels empty and unsatisfying, like swallowing a Communion wafer without the wine.",negative,negative,2,"empty,and,unsatisfying,","[2, 3, 4]",22,White/Caucasian,Female,Very well,PASSED,304,WY,White/Causasian,<=35,833,validation,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
58,QID575,28,I like the new footage and still love the old stuff.,positive,positive,1,"I,like,the,new,footage,and,still,love,the,old,stuff.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",27,White/Caucasian,Male,Well,PASSED,344,WY,White/Causasian,<=35,851,test,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
59,QID599,40,"Stephen Rea, Aidan Quinn, and Alan Bates play Desmond's legal eagles, and when joined by Brosnan, the sight of this grandiloquent quartet lolling in pretty Irish settings is a pleasant enough thing, `tis.",positive,positive,1,"settings,is,a,pleasant,enough,thing,","[26, 27, 28, 29, 30, 31]",19,White/Caucasian,Male,Very well,PASSED,361,WY,White/Causasian,<=35,860,validation,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0]"
60,QID983,232,"... a haunting vision, with images that seem more like disturbing hallucinations.",negative,no sentiment,3,"haunting,vision,","[2, 3]",33,White/Caucasian,Female,Well,PASSED,654,WY,White/Causasian,<=35,865,test,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
61,QID603,42,An intriguing and entertaining introduction to Johnson.,positive,positive,1,"intriguing,and,entertaining","[1, 2, 3]",19,White/Caucasian,Male,Very well,PASSED,363,WY,White/Causasian,<=35,941,test,"[0, 1, 1, 1, 0, 0, 0]"
62,QID941,211,"... pitiful, slapdash disaster.",negative,negative,2,"pitiful,,slapdash,disaster.","[1, 2, 3]",30,White/Caucasian,Female,Very well,PASSED,616,WY,White/Causasian,<=35,952,train,"[0, 1, 1, 1]"
63,QID571,26,The Movie will reach far beyond its core demographic.,positive,positive,1,"The,Movie,will,reach,far,beyond,its,core,demographic.","[0, 1, 2, 3, 4, 5, 6, 7, 8]",27,White/Caucasian,Male,Well,PASSED,342,WY,White/Causasian,<=35,989,test,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
64,QID805,143,It never fails to engage us.,positive,positive,1,"It,never,fails,to,engage","[0, 1, 2, 3, 4]",31,White/Caucasian,Female,Very well,PASSED,502,WY,White/Causasian,<=35,1004,test,"[1, 1, 1, 1, 1, 0]"
65,QID1011,246,"Cantet perfectly captures the hotel lobbies, two-lane highways, and roadside cafes that permeate Vincent's days",positive,positive,1,"perfectly,captures","[1, 2]",27,White/Caucasian,Male,Well,PASSED,677,WY,White/Causasian,<=35,1033,test,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
66,QID545,13,Another Best of the Year selection.,positive,no sentiment,3,"Year,selection.","[4, 5]",20,White/Caucasian,Male,Well,PASSED,323,WY,White/Causasian,<=35,1050,train,"[0, 0, 0, 0, 1, 1]"
67,QID799,140,"As written by Michael Berg and Michael J. Wilson from a story by Wilson, this relentless, all-wise-guys-all-the-time approach tries way too hard and gets tiring in no time at all.",negative,negative,2,"this,relentless,,all-wise-guys-all-the-time,approach,tries,way,too,hard,and,gets,tiring,in,no,time","[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",31,White/Caucasian,Female,Very well,PASSED,499,WY,White/Causasian,<=35,1092,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]"
68,QID581,31,"The stupidest, most insulting movie of 2002's first quarter.",negative,negative,2,"The,stupidest,,most,insulting","[0, 1, 2, 3]",24,White/Caucasian,Male,Very well,PASSED,349,WY,White/Causasian,<=35,1105,test,"[1, 1, 1, 1, 0, 0, 0, 0, 0]"
69,QID609,45,"Showtime is one of the hapless victims of the arrogant ``if we put together a wry white man and a chatty black man and give them guns, the movie will be funny'' syndrome.",negative,negative,2,"one,of,the,hapless,victims,of,the,arrogant,the,movie,will,be,funny'',syndrome.","[2, 3, 4, 5, 6, 7, 8, 9, 27, 28, 29, 30, 31, 32]",19,White/Caucasian,Male,Very well,PASSED,370,WY,White/Causasian,<=35,1116,test,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]"
70,QID943,212,It's neither as romantic nor as thrilling as it should be.,negative,negative,2,"neither,nor,should,be.","[1, 4, 9, 10]",30,White/Caucasian,Female,Very well,PASSED,618,WY,White/Causasian,<=35,1141,test,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1]"
71,QID783,132,"This is cool, slick stuff, ready to quench the thirst of an audience that misses the summer blockbusters.",positive,positive,1,"cool,,slick,ready,quench,thirst,audience,misses,the,summer,blockbusters.","[2, 3, 5, 7, 9, 12, 14, 15, 16, 17]",23,White/Caucasian,Male,Very well,PASSED,488,WY,White/Causasian,<=35,1199,test,"[0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1]"
72,QID771,126,"It's badly acted, blandly directed, and could have been scripted by someone who just graduated from elementary school.",negative,negative,2,"badly,acted,,blandly,directed,,scripted,by,someone,who,just,graduated","[1, 2, 3, 4, 9, 10, 11, 12, 13, 14]",27,White/Caucasian,Female,Well,PASSED,480,WY,White/Causasian,<=35,1202,test,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0]"
