,sentences,sst2_idxs,zuco_textids
67,"I thought the relationships were wonderful, the comedy was funny, and the love `real'.",60405,410
68,Feels less like a cousin to Blade Runner than like a bottom-feeder sequel in the Escape From New York series.,6956,412
69,"Elegantly produced and expressively performed, the six musical numbers crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy.",43901,413
70,"Apparently, romantic comedy with a fresh point of view just doesn't figure in the present Hollywood program.",34817,416
71,That Haynes can both maintain and dismantle the facades that his genre and his character construct is a wonderous accomplishment of veracity and narrative grace.,59156,417
72,"No French people were harmed during the making of this movie, but they were insulted and the audience was put through torture for an hour and a half.",27443,419
73,"No French people were harmed during the making of this movie, but they were insulted and the audience was put through torture for an hour and a half.",39289,419
74,"I was feeling this movie until it veered off too far into the Exxon zone, and left me behind at the station looking for a return ticket to realism.",39520,420
75,Exceptionally well acted by Diane Lane and Richard Gere.,64664,422
76,"A stupid, derivative horror film that substitutes extreme gore for suspense.",33358,424
77,It's a great American adventure and a wonderful film to bring to IMAX.,12370,425
78,"A miraculous movie, I'm Going Home is so slight, yet overflows with wisdom and emotion.",60159,428
79,"A fiercely clever and subtle film, capturing the precarious balance between the extravagant confidence of the exiled aristocracy and the cruel earnestness of the victorious revolutionaries.",8873,429
80,"A fiercely clever and subtle film, capturing the precarious balance between the extravagant confidence of the exiled aristocracy and the cruel earnestness of the victorious revolutionaries.",65666,429
81,"Thanks to a small star with big heart, this family film sequel is plenty of fun for all.",24787,432
82,Festers in just such a dungpile that you'd swear you were watching monkeys flinging their feces at you.,44332,434
83,under-rehearsed and lifeless,37928,435
84,"For those for whom the name Woody Allen was once a guarantee of something fresh, sometimes funny, and usually genuinely worthwhile, Hollywood Ending is a depressing experience.",33235,438
85,"The fun of the movie is the chance it affords to watch Jackson, who also served as executive producer, take his smooth, shrewd, powerful act abroad.",52633,440
86,What should have been a cutting Hollywood satire is instead about as fresh as last week's issue of Variety.,28024,441
87,"Cox offers plenty of glimpses at existing photos, but there are no movies of Nijinsky, so instead the director treats us to an aimless hodgepodge.",41940,442
88,"Cox offers plenty of glimpses at existing photos, but there are no movies of Nijinsky, so instead the director treats us to an aimless hodgepodge.",50443,442
89,Mr. Soderbergh's direction and visual style struck me as unusually and unimpressively fussy and pretentious.,62376,444
90,Mazel tov to a film about a family's joyous life acting on the Yiddish stage.,50989,445
91,"Loud, chaotic and largely unfunny.",14768,448
92,"Loud, chaotic and largely unfunny.",43084,448
93,The immersive powers of the giant screen and its hyper-realistic images are put to perfect use in the breathtakingly beautiful outer-space documentary Space Station 3D.,55975,449
94,Allen's funniest and most likeable movie in years.,8739,452
95,"Stitch is a bad mannered, ugly and destructive little ****.",60861,457
96,The cast is top-notch and I predict there will be plenty of female audience members drooling over Michael Idemoto as Michael.,40217,458
97,The cast is top-notch and I predict there will be plenty of female audience members drooling over Michael Idemoto as Michael.,41313,458
98,Kirshner and Monroe seem to be in a contest to see who can out-bad-act the other.,830,459
99,This is one of those war movies that focuses on human interaction rather than battle and action sequences... and it's all the stronger because of it.,4878,460
100,This is one of those war movies that focuses on human interaction rather than battle and action sequences... and it's all the stronger because of it.,55354,460
101,"Like life on the island, the movie grows boring despite the scenery.",51497,461
102,It's anchored by splendid performances from an honored screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother/daughter pair.,40598,462
103,"Even by the intentionally low standards of frat-boy humor, Sorority Boys is a bowser.",39806,464
104,The only entertainment you'll derive from this choppy and sloppy affair will be from unintentional giggles -- several of them.,54007,466
105,"A bittersweet contemporary comedy about benevolent deception, which, while it may not rival the filmmaker's period pieces, is still very much worth seeing.",32190,468
106,"A bittersweet contemporary comedy about benevolent deception, which, while it may not rival the filmmaker's period pieces, is still very much worth seeing.",40080,468
107,Attal pushes too hard to make this a comedy or serious drama.,59111,469
108,Isabelle Huppert excels as the enigmatic Mika and Anna Mouglalis is a stunning new young talent in one of Chabrol's most intense psychological mysteries.,47180,470
109,A small movie with a big impact.,7709,471
110,A small movie with a big impact.,24949,471
111,"Impresses as a skillfully assembled, highly polished and professional adaptation... just about as chilling and unsettling as `Manhunter' was.",585,478
112,"A colorful, vibrant introduction to a universal human impulse, lushly photographed and beautifully recorded.",8273,484
113,Audiard successfully maintains suspense on different levels throughout a film that is both gripping and compelling.,29160,485
114,After that it becomes long and tedious like a classroom play in a college history course.,44255,487
115,"A loud, ugly, irritating movie without any of its satirical salvos hitting a discernible target.",35344,490
116,"For VeggieTales fans, this is more appetizing than a side dish of asparagus.",66326,491
117,A truly wonderful tale combined with stunning animation.,14072,493
118,"Nothing sticks, really, except a lingering creepiness one feels from being dragged through a sad, sordid universe of guns, drugs, avarice and damaged dreams.",14756,494
119,``Simone'' is a fun and funky look into an artificial creation in a world that thrives on artificiality.,8193,495
120,``Simone'' is a fun and funky look into an artificial creation in a world that thrives on artificiality.,64740,495
121,"It's a hoot watching The Rock chomp on jumbo ants, pull an arrow out of his back, and leap unscathed through raging fire!",5863,496
122,"While Tattoo borrows heavily from both Seven and The Silence of the Lambs, it manages to maintain both a level of sophisticated intrigue and human-scale characters that suck the audience in.",656,497
123,This is one of the biggest disappointments of the year.,50066,501
124,The movie slides downhill as soon as macho action conventions assert themselves.,4903,504
125,"Like the best of Godard's movies... it is visually ravishing, penetrating, impenetrable.",52913,506
126,The cumulative effect of the movie is repulsive and depressing.,4004,507
127,"In XXX, Diesel is that rare creature -- an action hero with table manners, and one who proves that elegance is more than tattoo deep.",2018,510
128,I'm not sure which will take longer to heal: the welt on Johnny Knoxville's stomach from a riot-control projectile or my own tortured psyche.,56596,511
129,"It's difficult to conceive of anyone who has reached puberty actually finding the characters in Slackers or their antics amusing, let alone funny.",27649,513
130,It's a funny little movie with clever dialogue and likeable characters.,32851,518
131,The movie is virtually without context -- journalistic or historical.,61424,522
132,"After sitting through this sloppy, made-for-movie comedy special, it makes me wonder if Lawrence hates criticism so much that he refuses to evaluate his own work.",32055,523
133,"Armed with a game supporting cast, from the pitch-perfect Forster to the always hilarious Meara and Levy, Like Mike shoots and scores, doing its namesake proud.",5395,526
134,"Armed with a game supporting cast, from the pitch-perfect Forster to the always hilarious Meara and Levy, Like Mike shoots and scores, doing its namesake proud.",66741,526
135,It will guarantee to have you leaving the theater with a smile on your face.,14614,527
136,"The misery of these people becomes just another voyeuristic spectacle, to be consumed and forgotten.",50242,528
137,"A thoroughly awful movie -- dumb, narratively chaotic, visually sloppy... a weird amalgam of `The Thing' and a geriatric `Scream.'",28444,529
138,"Measured against practically any like-themed film other than its Oscar-sweeping franchise predecessor The Silence of the Lambs, Red Dragon rates as an exceptional thriller.",15390,531
139,"After seeing the film, I can tell you that there's no other reason why anyone should bother remembering it.",41831,534
140,The film is darkly funny in its observation of just how much more grueling and time-consuming the illusion of work is than actual work.,8114,535
141,"Pacino and Williams seem to keep upping the ante on each other, just as their characters do in the film.",1784,537
142,Narc is a no-bull throwback to 1970s action films.,65601,541
143,Intriguing and downright intoxicating.,3951,542
144,Intriguing and downright intoxicating.,59413,542
145,"In addition to scoring high for originality of plot -- putting together familiar themes of family, forgiveness and love in a new way -- Lilo & Stitch has a number of other assets to commend it to movie audiences both innocent and jaded.",13621,545
146,The quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by Rachel Griffiths.,55240,546
147,Bad and baffling from the get-go.,41627,548
148,Bad and baffling from the get-go.,47202,548
149,The original wasn't a good movie but this remake makes it look like a masterpiece!,16934,550
150,"Although the sequel has all the outward elements of the original, the first film's lovely flakiness is gone, replaced by the forced funniness found in the dullest kiddie flicks.",43077,552
151,"This method almost never fails him, and it works superbly here.",36594,555
152,The most compelling performance of the year adds substantial depth to this shocking testament to anti-Semitism and neo-fascism.,26146,559
153,"A work of extraordinary journalism, but it is also a work of deft and subtle poetry.",2143,562
154,"A work of extraordinary journalism, but it is also a work of deft and subtle poetry.",54163,562
155,The Pianist is Polanski's best film.,17534,566
156,"The director, with his fake backdrops and stately pacing, never settles on a consistent tone.",7076,568
157,"If you enjoy being rewarded by a script that assumes you aren't very bright, then Blood Work is for you.",39855,570
158,"Like Rudy Yellow Lodge, Eyre needs to take a good sweat to clarify his cinematic vision before his next creation and remember the lessons of the trickster spider.",42555,571
159,"A lot of talent is wasted in this crass, low-wattage endeavor.",22817,574
160,This stuck pig of a movie flails limply between bizarre comedy and pallid horror.,25694,577
161,"The film just might turn on many people to opera, in general, an art form at once visceral and spiritual, wonderfully vulgar and sublimely lofty -- and as emotionally grand as life.",66469,578
162,"The delicious trimmings... arrive early and stay late, filling nearly every minute... with a lighthearted glow, some impudent snickers, and a glorious dose of humankind's liberating ability to triumph over a Scrooge or two.",7615,579
163,"The delicious trimmings... arrive early and stay late, filling nearly every minute... with a lighthearted glow, some impudent snickers, and a glorious dose of humankind's liberating ability to triumph over a Scrooge or two.",45497,579
164,"Hard, endearing, caring, warm.",5252,583
165,"A breathtaking adventure for all ages, Spirit tells its poignant and uplifting story in a stunning fusion of music and images.",47914,592
166,A movie so bad that it quickly enters the pantheon of wreckage that includes Battlefield Earth and Showgirls.,29702,595
167,"If you're over 25, have an IQ over 90, and have a driver's license, you should be able to find better entertainment.",39688,596
168,It's the funniest American comedy since Graffiti Bridge.,66793,599
169,"This enthralling documentary... is at once playful and haunting, an in-depth portrait of an iconoclastic artist who was fundamentally unknowable even to his closest friends.",27544,603
170,"A dim-witted and lazy spin-off of the Animal Planet documentary series, Crocodile Hunter is entertainment opportunism at its most glaring.",23110,610
171,"Methodical, measured, and gently tedious in its comedy, Secret Ballot is a purposefully reductive movie -- which may be why it's so successful at lodging itself in the brain.",66456,612
172,One of the most exciting action films to come out of China in recent years.,39361,613
173,One of the most exciting action films to come out of China in recent years.,57469,613
174,Adam Sandler's Eight Crazy Nights grows on you -- like a rash.,48248,614
175,"The film feels formulaic, its plot and pacing typical Hollywood war-movie stuff, while the performances elicit more of a sense of deja vu than awe.",16051,615
176,"... pitiful, slapdash disaster.",952,616
177,"... pitiful, slapdash disaster.",55141,616
178,Returning director Rob Minkoff... and screenwriter Bruce Joel Rubin... have done a fine job of updating White's dry wit to a new age.,55198,619
179,An awful movie that will only satisfy the most emotionally malleable of filmgoers.,47498,622
180,"This is an extraordinary film, not least because it is Japanese and yet feels universal.",24602,623
181,"The asylum material is gripping, as are the scenes of Jia with his family.",58188,627
182,"... by the time it's done with us, Mira Nair's new movie has its audience giddy with the delight of discovery, of having been immersed in a foreign culture only to find that human nature is pretty much the same all over.",43913,628
183,"... by the time it's done with us, Mira Nair's new movie has its audience giddy with the delight of discovery, of having been immersed in a foreign culture only to find that human nature is pretty much the same all over.",50759,628
184,"... by the time it's done with us, Mira Nair's new movie has its audience giddy with the delight of discovery, of having been immersed in a foreign culture only to find that human nature is pretty much the same all over.",65041,628
185,... about as exciting to watch as two last-place basketball teams playing one another on the final day of the season.,9194,629
186,... about as exciting to watch as two last-place basketball teams playing one another on the final day of the season.,15678,629
187,... about as exciting to watch as two last-place basketball teams playing one another on the final day of the season.,60265,629
188,"The problem is that for the most part, the film is deadly dull.",59464,637
189,An exhilarating experience.,31302,639
190,Distinctly sub-par... more likely to drown a viewer in boredom than to send any shivers down his spine.,19252,643
191,Distinctly sub-par... more likely to drown a viewer in boredom than to send any shivers down his spine.,42335,643
192,Godard's ode to tackling life's wonderment is a rambling and incoherent manifesto about the vagueness of topical excess... In Praise of Love remains a ponderous and pretentious endeavor that's unfocused and tediously exasperating.,7290,644
193,Godard's ode to tackling life's wonderment is a rambling and incoherent manifesto about the vagueness of topical excess... In Praise of Love remains a ponderous and pretentious endeavor that's unfocused and tediously exasperating.,23957,644
194,"We never truly come to care about the main characters and whether or not they'll wind up together, and Michele's spiritual quest is neither amusing nor dramatic enough to sustain interest.",9141,646
195,"We never truly come to care about the main characters and whether or not they'll wind up together, and Michele's spiritual quest is neither amusing nor dramatic enough to sustain interest.",54238,646
196,"Most haunting about ``Fence'' is its conclusion, when we hear the ultimate fate of these girls and realize, much to our dismay, that this really did happen.",61907,647
197,"Bogdanovich taps deep into the Hearst mystique, entertainingly reenacting a historic scandal.",55696,648
198,"Devos and Cassel have tremendous chemistry -- their sexual and romantic tension, while never really vocalized, is palpable.",1453,651
199,"Devos and Cassel have tremendous chemistry -- their sexual and romantic tension, while never really vocalized, is palpable.",26550,651
200,"As a girl-meets-girl romantic comedy, Kissing Jessica Steinis quirky, charming and often hilarious.",51076,652
201,"As a remake, it's a pale imitation.",60598,655
202,A generic family comedy unlikely to be appreciated by anyone outside the under-10 set.,60110,658
203,"This odd, poetic road movie, spiked by jolts of pop music, pretty much takes place in Morton's ever-watchful gaze -- and it's a tribute to the actress, and to her inventive director, that the journey is such a mesmerizing one.",38498,661
204,"This odd, poetic road movie, spiked by jolts of pop music, pretty much takes place in Morton's ever-watchful gaze -- and it's a tribute to the actress, and to her inventive director, that the journey is such a mesmerizing one.",49838,661
205,"Co-writer/director Jonathan Parker's attempts to fashion a Brazil-like, hyper-real satire fall dreadfully short.",25097,662
206,"An amateurish, quasi-improvised acting exercise shot on ugly digital video.",25253,663
207,"A gratingly unfunny groaner littered with zero-dimensional, unlikable characters and hackneyed, threadbare comic setups.",17684,665
208,Griffin & Co. manage to be spectacularly outrageous.,12341,667
209,"A profoundly stupid affair, populating its hackneyed and meanspirited storyline with cardboard characters and performers who value cash above credibility.",7513,668
210,It isn't that Stealing Harvard is a horrible movie -- if only it were that grand a failure!,48344,670
211,"But the talented cast alone will keep you watching, as will the fight scenes.",65502,674
212,"Thanks largely to Williams, all the interesting developments are processed in 60 minutes -- the rest is just an overexposed waste of film.",49464,676
213,"Thanks largely to Williams, all the interesting developments are processed in 60 minutes -- the rest is just an overexposed waste of film.",59503,676
214,"The art direction is often exquisite, and the anthropomorphic animal characters are beautifully realized through clever makeup design, leaving one to hope that the eventual DVD release will offer subtitles and the original Italian-language soundtrack.",12467,681
215,"The art direction is often exquisite, and the anthropomorphic animal characters are beautifully realized through clever makeup design, leaving one to hope that the eventual DVD release will offer subtitles and the original Italian-language soundtrack.",44436,681
216,But what's nice is that there's a casual intelligence that permeates the script.,16046,683
217,Wedding feels a bit anachronistic.,758,684
218,"An action/thriller of the finest kind, evoking memories of Day of the Jackal, The French Connection, and Heat.",63203,685
219,"This picture is murder by numbers, and as easy to be bored by as your ABC's, despite a few whopping shootouts.",27797,686
220,"Every individual will see the movie through the prism of his or her own beliefs and prejudices, but the one thing most will take away is the sense that peace is possible.",21374,687
221,"Every individual will see the movie through the prism of his or her own beliefs and prejudices, but the one thing most will take away is the sense that peace is possible.",22324,687
222,"Starts out mediocre, spirals downward, and thuds to the bottom of the pool with an utterly incompetent conclusion.",29721,691
223,Its engaging simplicity is driven by appealing leads.,38200,693
224,"It's a head-turner -- thoughtfully written, beautifully read and, finally, deeply humanizing.",18114,695
225,"Bray is completely at sea; with nothing but a Savage Garden music video on his resume, he has no clue about making a movie.",24788,696
226,"Bray is completely at sea; with nothing but a Savage Garden music video on his resume, he has no clue about making a movie.",54316,696
227,Men in Black II achieves ultimate insignificance -- it's the sci-fi comedy spectacle as Whiffle-Ball epic.,190,698
228,Men in Black II achieves ultimate insignificance -- it's the sci-fi comedy spectacle as Whiffle-Ball epic.,4176,698
