,QID,text_id,sentence,original_label,label,label_index,rationale,rationale_index,age,ethnicity,gender,english_proficiency,attentioncheck,originaldata_id,group_id,recruitment_ethnicity,recruitment_age,originaldata_split,rationale_binary
18,QID555,18,Some people just want to watch a well made film in a comfortable auditorium and not deal with hassles. This was a great film.,positive,positive,1,"well,made,comfortable,hassles.,great","[7, 8, 12, 18, 22]",52,White/Caucasian,Male,Very well,PASSED,r2-0019280,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
19,QID557,19,I would never not recommend this place.,positive,positive,1,"never,not,recommend","[2, 3, 4]",52,White/Caucasian,Male,Very well,PASSED,r2-0019281,WO,White/Causasian,>=38,test,"[0, 0, 1, 1, 1, 0, 0]"
20,QID559,20,"Add bacon and then drowned them in butter, which was lovely for a vegan.",negative,negative,2,"for,vegan.","[11, 13]",39,White/Caucasian,Male,Very well,PASSED,r2-0019282,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
21,QID561,21,Put it in a history book. Sounds like a fun read.,positive,negative,2,"fun,read.","[9, 10]",39,White/Caucasian,Male,Very well,PASSED,r2-0019283,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
22,QID563,22,I've eaten here multiple times and the food to me is the reverse of wonderful.,negative,negative,2,"reverse,of,wonderful.","[12, 13, 14]",39,White/Caucasian,Male,Very well,PASSED,r2-0019285,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
23,QID565,23,"Personally, I was really disappointed.",negative,negative,2,disappointed.,[4],39,White/Caucasian,Male,Very well,PASSED,r2-0019286,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 1]"
24,QID567,24,The stylist stations are spread  far apart so no one else is eavesdropping or breathing down your neck,positive,positive,1,"no,one,breathing,down,your,neck","[8, 9, 14, 15, 16, 17]",39,White/Caucasian,Male,Very well,PASSED,r2-0019287,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1]"
25,QID569,25,Coyoacan definitely gets credit for creating a romantic and interesting atmosphere. best at what they do,positive,positive,1,"best,at,what,they,do","[11, 12, 13, 14, 15]",39,White/Caucasian,Male,Very well,PASSED,r2-0019288,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]"
26,QID571,26,kids are allowed,positive,no sentiment,3,"kids,are,allowed","[0, 1, 2]",39,White/Caucasian,Male,Very well,PASSED,r2-0019290,WO,White/Causasian,>=38,test,"[1, 1, 1]"
27,QID573,27,inexpensive quick fix.,positive,positive,1,"inexpensive,quick,fix.","[0, 1, 2]",39,White/Caucasian,Male,Very well,PASSED,r2-0019291,WO,White/Causasian,>=38,test,"[1, 1, 1]"
28,QID575,28,I felt the customer service,positive,negative,2,"felt,customer,service","[1, 3, 4]",39,White/Caucasian,Male,Very well,PASSED,r2-0019292,WO,White/Causasian,>=38,test,"[0, 1, 0, 1, 1]"
29,QID577,29,Eager to come back? me thinks otherwise.,negative,negative,2,"me,thinks,otherwise.","[4, 5, 6]",39,White/Caucasian,Male,Very well,PASSED,r2-0019293,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 1, 1, 1]"
30,QID579,30,I've been disappointed at many restaurants before but this one never fails me.,positive,positive,1,"never,fails,me.","[10, 11, 12]",40,White/Caucasian,Female,Very well,PASSED,r2-0019295,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
31,QID581,31,We liked the place. There was no notice or sign about the closure so I'm not quite sure what is going on.,positive,negative,2,"not,quite,sure","[15, 16, 17]",40,White/Caucasian,Female,Very well,PASSED,r2-0019296,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0]"
32,QID583,32,The chairs were sunken in.,negative,no sentiment,3,"The,chairs,were,sunken,in.","[0, 1, 2, 3, 4]",40,White/Caucasian,Female,Very well,PASSED,r2-0019297,WO,White/Causasian,>=38,test,"[1, 1, 1, 1, 1]"
33,QID585,33,The place was quaint but the waiter was rude and the food was terrible.,negative,negative,2,"rude,terrible.","[8, 13]",40,White/Caucasian,Female,Very well,PASSED,r2-0019299,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
34,QID587,34,I'm really glad I got a chance to stop in and look forward my my next visit! It rocked.,positive,positive,1,"really,glad,look,forward,It,rocked.","[1, 2, 11, 12, 17, 18]",40,White/Caucasian,Female,Very well,PASSED,r2-0019300,WO,White/Causasian,>=38,test,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1]"
35,QID589,35,The agave syrup makes honey look bad,positive,negative,2,"look,bad","[5, 6]",40,White/Caucasian,Female,Very well,PASSED,r2-0019301,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 1, 1]"
36,QID591,36,"Service is wonderful, but Cindy and her daughter Taylor are too upbeat.",positive,negative,2,"but,too,upbeat.","[3, 10, 11]",40,White/Caucasian,Female,Very well,PASSED,r2-0019303,WO,White/Causasian,>=38,test,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1]"
37,QID593,37,Doesn't get enough attention,positive,negative,2,"Doesn't,get,enough","[0, 1, 2]",40,White/Caucasian,Female,Very well,PASSED,r2-0019304,WO,White/Causasian,>=38,test,"[1, 1, 1, 0]"
38,QID595,38,"All the pizza I had in Charlotte was terrible, just horrible and disgusting, until I found this place which is the exactly the opposite.",positive,positive,1,"this,place,which,is,the,exactly,the,opposite.","[16, 17, 18, 19, 20, 21, 22, 23]",40,White/Caucasian,Female,Very well,PASSED,r2-0019305,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
39,QID597,39,"It's great that the waitress recommended too many entrees, and the service was too fast for the large amount of people we had. ",positive,negative,2,"recommended,too,many,entrees,,fast","[5, 6, 7, 8, 14]",40,White/Caucasian,Female,Very well,PASSED,r2-0019307,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
40,QID599,40,The place was very dirty.,negative,negative,2,dirty.,[4],39,White/Caucasian,Male,Very well,PASSED,r2-0019309,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 1]"
41,QID601,41,I tried a new place. I wish I could eat here all the time.,positive,positive,1,"all,the,time.","[11, 12, 13]",39,White/Caucasian,Male,Very well,PASSED,r2-0019310,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
42,QID603,42,Great falafel and lentil soup served very hot exactly the way we don't like it !,negative,negative,2,"don't,like,it","[12, 13, 14]",39,White/Caucasian,Male,Very well,PASSED,r2-0019311,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]"
43,QID605,43,Tastes like fried chicken but none of the guilt or carbs. loved it,positive,positive,1,"loved,it","[11, 12]",39,White/Caucasian,Male,Very well,PASSED,r2-0019312,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
44,QID607,44,This place seemed really legitimate so I went in with super high expectations that I wish had been met.,negative,negative,2,"I,wish,had,been,met.","[14, 15, 16, 17, 18]",39,White/Caucasian,Male,Very well,PASSED,r2-0019314,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]"
45,QID609,45,"You will avoid the $12 delivery fee, and the slowness of the whole experience.I hate slowness.",negative,positive,1,"You,will,avoid","[0, 1, 2]",39,White/Caucasian,Male,Very well,PASSED,r2-0019315,WO,White/Causasian,>=38,test,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
46,QID611,46,"He told me severally ""I'm not a mechanic, I don't know how to work on these things, that is what my mechanic is for.""",negative,negative,2,"I,don't,know,how,to,work","[8, 9, 10, 11, 12, 13]",39,White/Caucasian,Male,Very well,PASSED,r2-0019316,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
47,QID613,47,The plates were almost not big enough for all the food.,positive,positive,1,"all,the,food.","[8, 9, 10]",39,White/Caucasian,Male,Very well,PASSED,r2-0019317,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
48,QID615,48,Service was fantastic.,positive,positive,1,fantastic.,[2],39,White/Caucasian,Male,Very well,PASSED,r2-0019318,WO,White/Causasian,>=38,test,"[0, 0, 1]"
49,QID617,49,The popover was the nastiest food I have ever tasted.,negative,negative,2,nastiest,[4],39,White/Caucasian,Male,Very well,PASSED,r2-0019319,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
50,QID619,50,It was a good trick,positive,positive,1,good,[3],40,White/Caucasian,Male,Very well,PASSED,r2-0019321,WO,White/Causasian,>=38,test,"[0, 0, 0, 1, 0]"
51,QID621,51,Every variation has been so good at being bad.,negative,negative,2,"good,at,being,bad.","[5, 6, 7, 8]",40,White/Caucasian,Male,Very well,PASSED,r2-0019322,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 1, 1, 1, 1]"
52,QID623,52,She was quite forgetful and got the food order wrong. very poor job,negative,negative,2,"poor,job","[11, 12]",40,White/Caucasian,Male,Very well,PASSED,r2-0019324,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
53,QID625,53,The meal was so bad.,negative,negative,2,bad.,[4],40,White/Caucasian,Male,Very well,PASSED,r2-0019325,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 1]"
54,QID627,54,Wors place to grab lunch.,negative,negative,2,Wors,[0],40,White/Caucasian,Male,Very well,PASSED,r2-0019326,WO,White/Causasian,>=38,test,"[1, 0, 0, 0, 0]"
55,QID629,55,I would come back but order something different on the menu. I like their food.,positive,positive,1,"I,like","[11, 12]",40,White/Caucasian,Male,Very well,PASSED,r2-0019329,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
56,QID631,56,The meals came out fast.,positive,no sentiment,3,"The,meals,came,out,fast.","[0, 1, 2, 3, 4]",40,White/Caucasian,Male,Very well,PASSED,r2-0019331,WO,White/Causasian,>=38,test,"[1, 1, 1, 1, 1]"
57,QID633,57,I can really appreciate courteous and conscientious co-workers after dealing with this bunch.,negative,negative,2,dealing,[9],40,White/Caucasian,Male,Very well,PASSED,r2-0019332,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
58,QID635,58,They were right on budget.,positive,no sentiment,3,"They,were,right,on,budget.","[0, 1, 2, 3, 4]",40,White/Caucasian,Male,Very well,PASSED,r2-0019333,WO,White/Causasian,>=38,test,"[1, 1, 1, 1, 1]"
59,QID637,59,I ch3cked this ppace oit and peoppe went crazy for it.,positive,no sentiment,3,"I,ch3cked,this,ppace,oit","[0, 1, 2, 3, 4]",40,White/Caucasian,Male,Very well,PASSED,r2-0019335,WO,White/Causasian,>=38,test,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
60,QID639,60,"Both times, they were slow and messed up my order. I was annoyed.",negative,negative,2,"were,slow,and,messed,up,my,order.","[3, 4, 5, 6, 7, 8, 9]",42,White/Caucasian,Male,Very well,PASSED,r2-0019336,WO,White/Causasian,>=38,test,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]"
61,QID641,61,The price for $60 was well worth it.,positive,positive,1,"was,well,worth","[4, 5, 6]",42,White/Caucasian,Male,Very well,PASSED,r2-0019337,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 1, 1, 1, 0]"
62,QID643,62,Grocery store had all fresh stock and its worth all travel,positive,positive,1,"its,worth,all,travel","[7, 8, 9, 10]",42,White/Caucasian,Male,Very well,PASSED,r2-0019338,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
63,QID645,63,You would have to be a terrible person to have a bad time here.,positive,no sentiment,3,"would,have,to,be","[1, 2, 3, 4]",42,White/Caucasian,Male,Very well,PASSED,r2-0019339,WO,White/Causasian,>=38,test,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
64,QID647,64,Somehow I can really end up nerding out at a place like this.,positive,no sentiment,3,"end,up,nerding","[4, 5, 6]",42,White/Caucasian,Male,Very well,PASSED,r2-0019340,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
65,QID649,65,She was actually able to give my eyebrows an arch,positive,no sentiment,3,"She,was,actually,able,to,give","[0, 1, 2, 3, 4, 5]",42,White/Caucasian,Male,Very well,PASSED,r2-0019342,WO,White/Causasian,>=38,test,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0]"
66,QID651,66,Chutney was amazing,positive,positive,1,"was,amazing","[1, 2]",42,White/Caucasian,Male,Very well,PASSED,r2-0019343,WO,White/Causasian,>=38,test,"[0, 1, 1]"
67,QID653,67,The new car was too short.,negative,negative,2,"was,too,short.","[3, 4, 5]",42,White/Caucasian,Male,Very well,PASSED,r2-0019345,WO,White/Causasian,>=38,test,"[0, 0, 0, 1, 1, 1]"
68,QID655,68,Their bathrooms are never dirty.,positive,positive,1,"are,never,dirty.","[2, 3, 4]",42,White/Caucasian,Male,Very well,PASSED,r2-0019346,WO,White/Causasian,>=38,test,"[0, 0, 1, 1, 1]"
69,QID657,69,Mari and Marisol are the girls to be seen!!!,positive,positive,1,"to,be,seen!!!","[6, 7, 8]",42,White/Caucasian,Male,Very well,PASSED,r2-0019348,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 1, 1, 1]"
70,QID659,70,My boyfriend had sausage and omelet with chicken that was on par with something that you would get at a Hobees (California breakfast chain). It was great.,positive,positive,1,"on,par,with,great.","[10, 11, 12, 26]",67,White/Caucasian,Female,Very well,PASSED,r2-0019349,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
71,QID661,71,Neither the discount section nor the pharmacy/drug store area had 'em. We were sad.,negative,negative,2,sad.,[13],67,White/Caucasian,Female,Very well,PASSED,r2-0019354,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
72,QID663,72,Not given an option to order one or leave my info in case one came in. I hated it.,negative,negative,2,"Not,given,an,option,hated","[0, 1, 2, 3, 17]",67,White/Caucasian,Female,Very well,PASSED,r2-0019355,WO,White/Causasian,>=38,test,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
73,QID665,73,They have a wide range of variety for you to choose from and the food is pretty fresh depending on the days you go. i recommend,positive,positive,1,"food,pretty,fresh,recommend","[14, 16, 17, 25]",67,White/Caucasian,Female,Very well,PASSED,r2-0019357,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
74,QID667,74,"Fyi, the name change didnt magically fix Fantastic Fridays or Terrific thursdays",negative,negative,2,"didnt,magically,fix","[4, 5, 6]",67,White/Caucasian,Female,Very well,PASSED,r2-0019358,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0]"
75,QID669,75,Edited to add correction by the Colonel that he heard the whole story so I guess only I was drunk. I like being drunk.,positive,no sentiment,3,"only,I,was,drunk.,I,like,being,drunk.","[16, 17, 18, 19, 20, 21, 22, 23]",67,White/Caucasian,Female,Very well,PASSED,r2-0019359,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
76,QID671,76,I have to admit that I'm a bit biased because olive performed in a couple of the plays there. I love olives.,positive,positive,1,"I,love,olives.","[19, 20, 21]",67,White/Caucasian,Female,Very well,PASSED,r2-0019362,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
77,QID673,77,The expected elegant décor is evaluated contradictorily in reality.,negative,negative,2,contradictorily,[6],67,White/Caucasian,Female,Very well,PASSED,r2-0019363,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
78,QID675,78,You will die laughing at this guy.,positive,positive,1,laughing,[3],67,White/Caucasian,Female,Very well,PASSED,r2-0019365,WO,White/Causasian,>=38,test,"[0, 0, 0, 1, 0, 0, 0]"
79,QID677,79,"This farmers market is very big, but I was able to get most of the fresh fruit and vegetables that I needed.",positive,positive,1,"I,was,able,to,get","[7, 8, 9, 10, 11]",67,White/Caucasian,Female,Very well,PASSED,r2-0019371,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
80,QID679,80,Frozen meat patties are disgusting except for this brand.,positive,positive,1,"except,for,this,brand.","[5, 6, 7, 8]",69,White/Caucasian,Female,Very well,PASSED,r2-0019372,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 1, 1, 1, 1]"
81,QID681,81,It was one h--l of a show!,positive,positive,1,"It,was,one,h--l,of,a,show!","[0, 1, 2, 3, 4, 5, 6]",69,White/Caucasian,Female,Very well,PASSED,r2-0019373,WO,White/Causasian,>=38,test,"[1, 1, 1, 1, 1, 1, 1]"
82,QID683,82,They gratefully charge 5% more and do an amazing NOTHING extra.,negative,negative,2,"5%,more,NOTHING,extra.","[3, 4, 9, 10]",69,White/Caucasian,Female,Very well,PASSED,r2-0019374,WO,White/Causasian,>=38,test,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1]"
83,QID685,83,Sunday was very crowd and noisy,negative,no sentiment,3,"Sunday,very,crowd,noisy","[0, 2, 3, 5]",69,White/Caucasian,Female,Very well,PASSED,r2-0019375,WO,White/Causasian,>=38,test,"[1, 0, 1, 1, 0, 1]"
84,QID687,84,I'm not from around the area but went on yelps advice. it was helpful,positive,positive,1,"yelps,advice.,helpful","[9, 10, 13]",69,White/Caucasian,Female,Very well,PASSED,r2-0019378,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1]"
85,QID689,85,Cheap place and it has used rubber seatings!,negative,no sentiment,3,"Cheap,place,rubber,seatings!","[0, 1, 6, 7]",69,White/Caucasian,Female,Very well,PASSED,r2-0019380,WO,White/Causasian,>=38,test,"[1, 1, 0, 0, 0, 0, 1, 1]"
86,QID691,86,They know what they are talking about when it comes to the world of beer.,positive,positive,1,"talking,about","[5, 6]",69,White/Caucasian,Female,Very well,PASSED,r2-0019382,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
87,QID693,87,I strongly recommend the restaurant. If you are blind and have no taste.,negative,negative,2,"blind,no,taste.","[8, 11, 12]",69,White/Caucasian,Female,Very well,PASSED,r2-0019384,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1]"
88,QID695,88,"I wasn't impressed. There are bright, colorful, easy-to-read menus in front of the register that conveniently detail all their menu items. ",negative,no sentiment,3,"conveniently,detail,menu,items.","[15, 16, 19, 20]",69,White/Caucasian,Female,Very well,PASSED,r2-0019385,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1]"
89,QID697,89,What a delightful little tea/dessert spot.,positive,positive,1,delightful,[2],69,White/Caucasian,Female,Very well,PASSED,r2-0019386,WO,White/Causasian,>=38,test,"[0, 0, 1, 0, 0, 0]"
90,QID699,90,We had a decent time and would have to think longer about whether I would recommend The Keg for anyone looking for a good meal with good service.,positive,positive,1,"had,a,decent,time","[1, 2, 3, 4]",45,White/Caucasian,Female,Very well,PASSED,r2-0019391,WO,White/Causasian,>=38,test,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
91,QID701,91,If anything like their other place the lunch buffet will be fantastic. I cant stand their disgusting overvalued competitors.,positive,positive,1,"will,be,fantastic.,cant,stand,their,disgusting,overvalued,competitors.","[9, 10, 11, 13, 14, 15, 16, 17, 18]",45,White/Caucasian,Female,Very well,PASSED,r2-0019392,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1]"
92,QID703,92,The employees are amazing at appearing to care about their jobs; what a trick!,negative,negative,2,"appearing,to,care,what,a,trick!","[5, 6, 7, 11, 12, 13]",45,White/Caucasian,Female,Very well,PASSED,r2-0019394,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1]"
